,subregion,numbers
0,Adams,35636.0
1,Allen,375351.0
2,Bartholomew,82753.0
3,Benton,8653.0
4,Blackford,11930.0
5,Boone,66999.0
6,Brown,15234.0
7,Carroll,20127.0
8,Cass,37955.0
9,Clark,117360.0
10,Clay,26170.0
11,Clinton,32250.0
12,Crawford,10558.0
13,Daviess,33147.0
14,Dearborn,49568.0
15,Decatur,26794.0
16,DeKalb,43226.0
17,Delaware,114772.0
18,Dubois,42565.0
19,Elkhart,205560.0
20,Fayette,23047.0
21,Floyd,77781.0
22,Fountain,16351.0
23,Franklin,22736.0
24,Fulton,20092.0
25,Gibson,33452.0
26,Grant,65936.0
27,Greene,32006.0
28,Hamilton,330086.0
29,Hancock,76351.0
30,Harrison,40350.0
31,Hendricks,167009.0
32,Henry,48271.0
33,Howard,82366.0
34,Huntington,36240.0
35,Jackson,44111.0
36,Jasper,33370.0
37,Jay,20764.0
38,Jefferson,32208.0
39,Jennings,27611.0
40,Johnson,156225.0
41,Knox,36895.0
42,Kosciusko,79344.0
43,LaGrange,39330.0
44,Lake,484411.0
45,LaPorte,110007.0
46,Lawrence,45668.0
47,Madison,129641.0
48,Marion,954670.0
49,Marshall,46248.0
50,Martin,10217.0
51,Miami,35567.0
52,Monroe,146917.0
53,Montgomery,38346.0
54,Morgan,70116.0
55,Newton,14011.0
56,Noble,47532.0
57,Ohio,5844.0
58,Orange,19489.0
59,Owen,20845.0
60,Parke,16927.0
61,Perry,19102.0
62,Pike,12410.0
63,Porter,169594.0
64,Posey,25540.0
65,Pulaski,12469.0
66,Putnam,37779.0
67,Randolph,24851.0
68,Ripley,28523.0
69,Rush,16663.0
70,Scott,23878.0
71,Shelby,44593.0
72,Spencer,20327.0
73,St. Joseph,270771.0
74,Starke,22935.0
75,Steuben,34586.0
76,Sullivan,20690.0
77,Switzerland,10717.0
78,Tippecanoe,193048.0
79,Tipton,15128.0
80,Union,7037.0
81,Vanderburgh,180974.0
82,Vermillion,15479.0
83,Vigo,107386.0
84,Wabash,31280.0
85,Warren,8263.0
86,Warrick,62567.0
87,Washington,27943.0
88,Wayne,65936.0
89,Wells,28206.0
90,White,24133.0
91,Whitley,34074.0
