,subregion,numbers
0,Alamance,26.099999999999994
1,Alexander,9.200000000000003
2,Alleghany,4.900000000000006
3,Anson,52.6
4,Ashe,3.0999999999999943
5,Avery,6.900000000000006
6,Beaufort,28.299999999999997
7,Bertie,63.9
8,Bladen,39.2
9,Brunswick,13.700000000000003
10,Buncombe,10.599999999999994
11,Burke,14.0
12,Cabarrus,26.599999999999994
13,Caldwell,8.299999999999997
14,Camden,17.5
15,Carteret,10.0
16,Caswell,35.599999999999994
17,Catawba,16.0
18,Chatham,17.900000000000006
19,Cherokee,6.5
20,Chowan,37.4
21,Clay,3.9000000000000057
22,Cleveland,24.099999999999994
23,Columbus,36.8
24,Craven,28.299999999999997
25,Cumberland,48.9
26,Currituck,9.400000000000006
27,Dare,6.0
28,Davidson,14.099999999999994
29,Davie,10.099999999999994
30,Duplin,29.700000000000003
31,Durham,46.3
32,Edgecombe,60.2
33,Forsyth,33.3
34,Franklin,29.799999999999997
35,Gaston,22.0
36,Gates,34.5
37,Graham,11.5
38,Granville,35.5
39,Greene,41.4
40,Guilford,43.8
41,Halifax,60.0
42,Harnett,28.599999999999994
43,Haywood,3.9000000000000057
44,Henderson,7.5
45,Hertford,64.4
46,Hoke,50.7
47,Hyde,32.400000000000006
48,Iredell,17.599999999999994
49,Jackson,14.700000000000003
50,Johnston,20.900000000000006
51,Jones,33.599999999999994
52,Lee,25.299999999999997
53,Lenoir,44.7
54,Lincoln,8.5
55,Macon,4.700000000000003
56,Madison,4.0
57,Martin,44.8
58,McDowell,7.599999999999994
59,Mecklenburg,42.5
60,Mitchell,3.700000000000003
61,Montgomery,23.5
62,Moore,16.900000000000006
63,Nash,45.1
64,New Hanover,18.099999999999994
65,Northampton,59.8
66,Onslow,23.799999999999997
67,Orange,23.400000000000006
68,Pamlico,22.400000000000006
69,Pasquotank,41.4
70,Pender,18.799999999999997
71,Perquimans,25.900000000000006
72,Person,30.200000000000003
73,Pitt,40.7
74,Polk,7.200000000000003
75,Randolph,11.099999999999994
76,Richmond,38.6
77,Robeson,69.1
78,Rockingham,22.400000000000006
79,Rowan,20.5
80,Rutherford,13.0
81,Sampson,33.5
82,Scotland,54.9
83,Stanly,15.900000000000006
84,Stokes,6.200000000000003
85,Surry,6.900000000000006
86,Swain,36.5
87,Transylvania,6.599999999999994
88,Tyrrell,43.3
89,Union,18.400000000000006
90,Vance,54.8
91,Wake,31.900000000000006
92,Warren,59.5
93,Washington,52.0
94,Watauga,5.200000000000003
95,Wayne,37.1
96,Wilkes,7.200000000000003
97,Wilson,44.0
98,Yadkin,6.099999999999994
99,Yancey,3.5
