,subregion,numbers
0,Alamance,166436.0
1,Alexander,37353.0
2,Alleghany,11161.0
3,Anson,24877.0
4,Ashe,27109.0
5,Avery,17505.0
6,Beaufort,47079.0
7,Bertie,19026.0
8,Bladen,33190.0
9,Brunswick,136744.0
10,Buncombe,259103.0
11,Burke,90382.0
12,Cabarrus,211342.0
13,Caldwell,82029.0
14,Camden,10710.0
15,Carteret,69524.0
16,Caswell,22698.0
17,Catawba,158652.0
18,Chatham,73139.0
19,Cherokee,28383.0
20,Chowan,14029.0
21,Clay,11139.0
22,Cleveland,97645.0
23,Columbus,55655.0
24,Craven,102912.0
25,Cumberland,332330.0
26,Currituck,27072.0
27,Dare,36501.0
28,Davidson,166614.0
29,Davie,42733.0
30,Duplin,58856.0
31,Durham,316739.0
32,Edgecombe,52005.0
33,Forsyth,379099.0
34,Franklin,67560.0
35,Gaston,222846.0
36,Gates,11573.0
37,Graham,8484.0
38,Granville,60115.0
39,Greene,21012.0
40,Guilford,533670.0
41,Halifax,50574.0
42,Harnett,134214.0
43,Haywood,61971.0
44,Henderson,116748.0
45,Hertford,23659.0
46,Hoke,54764.0
47,Hyde,5230.0
48,Iredell,178435.0
49,Jackson,43327.0
50,Johnston,202675.0
51,Jones,9637.0
52,Lee,61452.0
53,Lenoir,55976.0
54,Lincoln,83770.0
55,Macon,35285.0
56,Madison,21763.0
57,Martin,22671.0
58,McDowell,45507.0
59,Mecklenburg,1093901.0
60,Mitchell,15000.0
61,Montgomery,27271.0
62,Moore,98682.0
63,Nash,94016.0
64,New Hanover,232274.0
65,Northampton,19676.0
66,Onslow,197683.0
67,Orange,146027.0
68,Pamlico,12670.0
69,Pasquotank,39639.0
70,Pender,62162.0
71,Perquimans,13422.0
72,Person,39507.0
73,Pitt,179914.0
74,Polk,20611.0
75,Randolph,143351.0
76,Richmond,44887.0
77,Robeson,131831.0
78,Rockingham,90690.0
79,Rowan,141262.0
80,Rutherford,66826.0
81,Sampson,63626.0
82,Scotland,34810.0
83,Stanly,62075.0
84,Stokes,45467.0
85,Surry,71948.0
86,Swain,14245.0
87,Transylvania,34215.0
88,Tyrrell,4131.0
89,Union,235908.0
90,Vance,44582.0
91,Wake,1092305.0
92,Warren,19807.0
93,Washington,11859.0
94,Watauga,55945.0
95,Wayne,123248.0
96,Wilkes,68557.0
97,Wilson,81455.0
98,Yadkin,37543.0
99,Yancey,17903.0
