,subregion,numbers
0,Alamance,13.5
1,Alexander,13.0
2,Alleghany,18.7
3,Anson,20.5
4,Ashe,16.9
5,Avery,16.8
6,Beaufort,18.1
7,Bertie,23.5
8,Bladen,29.1
9,Brunswick,10.5
10,Buncombe,11.5
11,Burke,14.0
12,Cabarrus,9.0
13,Caldwell,15.9
14,Camden,8.3
15,Carteret,9.8
16,Caswell,17.1
17,Catawba,13.0
18,Chatham,9.3
19,Cherokee,18.8
20,Chowan,17.2
21,Clay,14.6
22,Cleveland,19.1
23,Columbus,25.3
24,Craven,14.9
25,Cumberland,17.0
26,Currituck,9.7
27,Dare,8.3
28,Davidson,15.0
29,Davie,10.8
30,Duplin,20.4
31,Durham,13.5
32,Edgecombe,22.9
33,Forsyth,16.4
34,Franklin,12.7
35,Gaston,14.2
36,Gates,15.2
37,Graham,18.9
38,Granville,13.0
39,Greene,23.5
40,Guilford,15.4
41,Halifax,22.0
42,Harnett,14.4
43,Haywood,13.1
44,Henderson,9.7
45,Hertford,23.2
46,Hoke,18.0
47,Hyde,22.2
48,Iredell,9.5
49,Jackson,16.7
50,Johnston,11.7
51,Jones,16.2
52,Lee,15.7
53,Lenoir,22.1
54,Lincoln,10.3
55,Macon,16.3
56,Madison,17.0
57,Martin,20.3
58,McDowell,15.4
59,Mecklenburg,11.7
60,Mitchell,16.1
61,Montgomery,16.7
62,Moore,10.5
63,Nash,14.2
64,New Hanover,15.3
65,Northampton,21.4
66,Onslow,15.1
67,Orange,12.4
68,Pamlico,16.6
69,Pasquotank,18.2
70,Pender,15.1
71,Perquimans,15.8
72,Person,14.8
73,Pitt,23.2
74,Polk,11.8
75,Randolph,13.8
76,Richmond,19.9
77,Robeson,24.5
78,Rockingham,17.9
79,Rowan,16.3
80,Rutherford,19.1
81,Sampson,22.8
82,Scotland,26.9
83,Stanly,13.2
84,Stokes,12.1
85,Surry,16.0
86,Swain,15.2
87,Transylvania,12.8
88,Tyrrell,25.2
89,Union,7.0
90,Vance,26.3
91,Wake,8.4
92,Warren,19.8
93,Washington,21.1
94,Watauga,21.2
95,Wayne,20.2
96,Wilkes,18.9
97,Wilson,21.1
98,Yadkin,13.0
99,Yancey,17.8
