,subregion,numbers
0,Adams,27724.0
1,Allen,102663.0
2,Ashland,53745.0
3,Ashtabula,97493.0
4,Athens,65818.0
5,Auglaize,45804.0
6,Belmont,67505.0
7,Brown,43602.0
8,Butler,382378.0
9,Carroll,27081.0
10,Champaign,38754.0
11,Clark,134585.0
12,Clermont,205466.0
13,Clinton,42057.0
14,Columbiana,102665.0
15,Coshocton,36629.0
16,Crawford,41550.0
17,Cuyahoga,1243857.0
18,Darke,51323.0
19,Defiance,38165.0
20,Delaware,204826.0
21,Erie,74615.0
22,Fairfield,155782.0
23,Fayette,28666.0
24,Franklin,1310300.0
25,Fulton,42276.0
26,Gallia,29979.0
27,Geauga,94031.0
28,Greene,167995.0
29,Guernsey,39022.0
30,Hamilton,816684.0
31,Hancock,75930.0
32,Hardin,31480.0
33,Harrison,15174.0
34,Henry,27086.0
35,Highland,43058.0
36,Hocking,28385.0
37,Holmes,43892.0
38,Huron,58504.0
39,Jackson,32384.0
40,Jefferson,65767.0
41,Knox,61893.0
42,Lake,230514.0
43,Lawrence,59866.0
44,Licking,175769.0
45,Logan,45358.0
46,Lorain,309461.0
47,Lucas,429899.0
48,Madison,44413.0
49,Mahoning,229642.0
50,Marion,65256.0
51,Medina,179146.0
52,Meigs,23106.0
53,Mercer,40959.0
54,Miami,106222.0
55,Monroe,13790.0
56,Montgomery,532331.0
57,Morgan,14604.0
58,Morrow,35112.0
59,Muskingum,86183.0
60,Noble,14354.0
61,Ottawa,40769.0
62,Paulding,18760.0
63,Perry,36033.0
64,Pickaway,58086.0
65,Pike,28067.0
66,Portage,162927.0
67,Preble,40997.0
68,Putnam,33780.0
69,Richland,121099.0
70,Ross,76931.0
71,Sandusky,58799.0
72,Scioto,75502.0
73,Seneca,55207.0
74,Shelby,48627.0
75,Stark,371574.0
76,Summit,541918.0
77,Trumbull,198627.0
78,Tuscarawas,92176.0
79,Union,57835.0
80,Van Wert,28281.0
81,Vinton,13139.0
82,Warren,232173.0
83,Washington,60155.0
84,Wayne,115967.0
85,Williams,36804.0
86,Wood,130696.0
87,Wyandot,21935.0
