,subregion,numbers
0,Anderson,58057.0
1,Andrews,18128.0
2,Angelina,87092.0
3,Aransas,23792.0
4,Archer,8786.0
5,Armstrong,1892.0
6,Atascosa,50310.0
7,Austin,29989.0
8,Bailey,7027.0
9,Bandera,22824.0
10,Bastrop,86976.0
11,Baylor,3582.0
12,Bee,32587.0
13,Bell,355642.0
14,Bexar,1986049.0
15,Blanco,11702.0
16,Borden,648.0
17,Bosque,18691.0
18,Bowie,94324.0
19,Brazoria,370200.0
20,Brazos,226758.0
21,Brewster,9267.0
22,Briscoe,1516.0
23,Brooks,7114.0
24,Brown,37924.0
25,Burleson,18389.0
26,Burnet,47542.0
27,Caldwell,43247.0
28,Calhoun,21561.0
29,Callahan,13994.0
30,Cameron,423908.0
31,Camp,13033.0
32,Carson,6005.0
33,Cass,30119.0
34,Castro,7665.0
35,Chambers,42454.0
36,Cherokee,52592.0
37,Childress,7291.0
38,Clay,10456.0
39,Cochran,2836.0
40,Coke,3370.0
41,Coleman,8397.0
42,Collin,1005146.0
43,Collingsworth,2962.0
44,Colorado,21217.0
45,Comal,148373.0
46,Comanche,13534.0
47,Concho,4276.0
48,Cooke,40574.0
49,Coryell,74808.0
50,Cottle,1389.0
51,Crane,4794.0
52,Crockett,3499.0
53,Crosby,5779.0
54,Culberson,2204.0
55,Dallam,7200.0
56,Dallas,2637772.0
57,Dawson,12619.0
58,Deaf Smith,18760.0
59,Delta,5349.0
60,Denton,859064.0
61,DeWitt,20187.0
62,Dickens,2249.0
63,Dimmit,10308.0
64,Donley,3319.0
65,Duval,11212.0
66,Eastland,18322.0
67,Ector,162124.0
68,Edwards,1928.0
69,El Paso,840758.0
70,Ellis,179436.0
71,Erath,42446.0
72,Falls,17335.0
73,Fannin,35286.0
74,Fayette,25349.0
75,Fisher,3839.0
76,Floyd,5837.0
77,Foard,1200.0
78,Fort Bend,787858.0
79,Franklin,10766.0
80,Freestone,19808.0
81,Frio,19816.0
82,Gaines,20901.0
83,Galveston,337890.0
84,Garza,6578.0
85,Gillespie,26804.0
86,Glasscock,1388.0
87,Goliad,7584.0
88,Gonzales,20826.0
89,Gray,21895.0
90,Grayson,133991.0
91,Gregg,123707.0
92,Grimes,28360.0
93,Guadalupe,163694.0
94,Hale,33830.0
95,Hall,3028.0
96,Hamilton,8484.0
97,Hansford,5463.0
98,Hardeman,3922.0
99,Hardin,57207.0
100,Harris,4698619.0
101,Harrison,66726.0
102,Hartley,5619.0
103,Haskell,5813.0
104,Hays,222631.0
105,Hemphill,3825.0
106,Henderson,82299.0
107,Hidalgo,865939.0
108,Hill,36354.0
109,Hockley,22980.0
110,Hood,60537.0
111,Hopkins,36810.0
112,Houston,23169.0
113,Howard,36459.0
114,Hudspeth,4795.0
115,Hunt,96493.0
116,Hutchinson,21198.0
117,Irion,1522.0
118,Jack,8843.0
119,Jackson,14874.0
120,Jasper,35872.0
121,Jeff Davis,2252.0
122,Jefferson,255001.0
123,Jim Hogg,5248.0
124,Jim Wells,40822.0
125,Johnson,171361.0
126,Jones,19817.0
127,Karnes,15650.0
128,Kaufman,128622.0
129,Kendall,45641.0
130,Kenedy,442.0
131,Kent,726.0
132,Kerr,52405.0
133,Kimble,4362.0
134,King,277.0
135,Kinney,3767.0
136,Kleberg,31129.0
137,Knox,3653.0
138,La Salle,7531.0
139,Lamar,49728.0
140,Lamb,13158.0
141,Lampasas,21229.0
142,Lavaca,20110.0
143,Lee,17144.0
144,Leon,17270.0
145,Liberty,86323.0
146,Limestone,23519.0
147,Lipscomb,3355.0
148,Live Oak,12166.0
149,Llano,21646.0
150,Loving,152.0
151,Lubbock,307412.0
152,Lynn,5877.0
153,Madison,14422.0
154,Marion,9928.0
155,Martin,5753.0
156,Mason,4280.0
157,Matagorda,36552.0
158,Maverick,58485.0
159,McCulloch,7987.0
160,McLennan,254607.0
161,McMullen,749.0
162,Medina,50921.0
163,Menard,2139.0
164,Midland,172578.0
165,Milam,25131.0
166,Mills,4921.0
167,Mitchell,8145.0
168,Montague,19596.0
169,Montgomery,590925.0
170,Moore,21485.0
171,Morris,12339.0
172,Motley,1234.0
173,Nacogdoches,65711.0
174,Navarro,49565.0
175,Newton,13746.0
176,Nolan,14751.0
177,Nueces,362265.0
178,Ochiltree,9947.0
179,Oldham,2131.0
180,Orange,83572.0
181,Palo Pinto,28875.0
182,Panola,23148.0
183,Parker,138371.0
184,Parmer,9864.0
185,Pecos,15673.0
186,Polk,50031.0
187,Potter,119648.0
188,Presidio,6948.0
189,Rains,12159.0
190,Randall,136271.0
191,Reagan,3741.0
192,Real,3478.0
193,Red River,12175.0
194,Reeves,15695.0
195,Refugio,7032.0
196,Roberts,903.0
197,Robertson,17284.0
198,Rockwall,100657.0
199,Runnels,10234.0
200,Rusk,54450.0
201,Sabine,10589.0
202,San Augustine,8232.0
203,San Jacinto,28719.0
204,San Patricio,66893.0
205,San Saba,6054.0
206,Schleicher,2895.0
207,Scurry,16866.0
208,Shackelford,3253.0
209,Shelby,25418.0
210,Sherman,3079.0
211,Smith,230221.0
212,Somervell,9016.0
213,Starr,64525.0
214,Stephens,9433.0
215,Sterling,1311.0
216,Stonewall,1362.0
217,Sutton,3758.0
218,Swisher,7462.0
219,Tarrant,2084931.0
220,Taylor,137640.0
221,Terrell,823.0
222,Terry,12287.0
223,Throckmorton,1515.0
224,Titus,33033.0
225,Tom Green,118189.0
226,Travis,1248743.0
227,Trinity,14740.0
228,Tyler,21696.0
229,Upshur,41260.0
230,Upton,3671.0
231,Uvalde,26846.0
232,Val Verde,49208.0
233,Van Zandt,56019.0
234,Victoria,92035.0
235,Walker,72480.0
236,Waller,53126.0
237,Ward,11720.0
238,Washington,35108.0
239,Webb,275910.0
240,Wharton,41619.0
241,Wheeler,5191.0
242,Wichita,132064.0
243,Wilbarger,12820.0
244,Willacy,21515.0
245,Williamson,566719.0
246,Wilson,50224.0
247,Winkler,7720.0
248,Wise,68305.0
249,Wood,45129.0
250,Yoakum,8591.0
251,Young,18045.0
252,Zapata,14190.0
253,Zavala,11983.0
